price3rsiUSD,activeaddresses90var,mediantransactionvalue7rocUSD,sentbyaddress7var,activeaddresses3trx,hashrate14roc,mining_profitability3sma,size90mom,size7rsi,mining_profitability3roc,price30momUSD,confirmationtime3ema,hashrate3mom,mediantransactionvalue90rsiUSD,confirmationtime7wma,sentbyaddress30std,fee_to_rewardUSD,transactionfees14rsiUSD,size14var,hashrate90roc,confirmationtime30ema,transactionfees30rsiUSD,mediantransactionvalue30wmaUSD,difficulty7trx,difficulty14std,hashrate7mom,priceUSD,hashrate3std,hashrate14mom,median_transaction_feeUSD,mediantransactionvalueUSD,sentinusdUSD,category
36.487,1418564906,15.651,297571401.0,-0.456,-3.347,1.267,57730.0,44.352,-3.707,25.684,9.165,3.56399771815544e+16,49.902,9.209,36713.0,1.13,48.261,6189785065,33.488,9.692,49.227,120.144,0.067,18328104.0,2.24797586800638e+17,446.657,3.62585007916375e+16,-4.84170917453427e+16,0.0447,129.02200000000002,963772445.0,1
75.793,1422930562,25.67,99876570.0,-0.868,12.504,1.291,82739.0,42.371,5.982,30.172,9.027,3.18994089343918e+16,49.844,9.114,36515.0,1.088,48.267,6630341650,27.495,9.64,49.23,120.488,0.055,17862738.0,1.26090726665245e+17,451.464,2.70475820220611e+16,1.57815729533342e+17,0.0451,126.861,1046134264.0,1
89.289,1421581684,27.104,184896750.0,-1.59,1.913,1.28,-53662.0,38.169,-2.57,37.982,9.314,-8.09670286752579e+16,49.676,9.204,38729.0,0.994,48.18899999999999,6759375040,2.439,9.637,49.182,120.435,0.045,16953559.0,5268470967261952.0,457.98800000000006,5.88302674019748e+16,2.53336390222805e+16,0.0458,120.602,865570450.0,0
85.005,1457432143,36.562,207646369.0,-2.25,16.809,1.311,-240901.0,31.782,7.431,37.281,8.942,4.24774014253824e+16,49.505,9.047,40796.0,0.821,48.082,8961203058,19.033,9.569,49.119,119.986,0.036000000000000004,15522781.0,7.84318752425631e+16,457.595,7.7902491485931e+16,2.07287825894807e+17,0.0458,114.291,741135456.0,1
86.27799999999998,1426394492,3.589,254379922.0,-0.467,36.722,1.3,-57913.0,41.772,-2.576,41.17,8.682,1.38773524110271e+17,49.96100000000001,8.878,40163.0,0.938,47.859,8481099832,34.394,9.495,48.994,120.644,0.029,13404410.0,1.96317723282157e+17,458.102,1.71269286588004e+17,4.18648874503335e+17,0.0458,130.83100000000002,942789236.0,0
46.81800000000001,1427234304,2.66,327666046.0,1.135,14.095,1.293,-11524.0,53.497,-1.524,35.85800000000001,8.898,8.6801978970175e+16,50.142,8.908999999999997,39540.0,1.204,48.675,7995219731,13.75,9.47,49.42100000000001,121.661,0.024,10177789.0,4.83036782316618e+16,454.7480000000001,1.13456669784018e+17,1.77437725749514e+17,0.0455,137.421,1004065257.0,0
32.456,1426833133,-1.165,341315286.0,1.243,9.582,1.209,173717.0,62.135,-18.699,32.514,9.862,-4.55713414294198e+16,50.195,9.383,39526.0,1.362,48.625,6936839569,10.47,9.558,49.395,122.723,0.123,6099931834.0,-3.55674809967217e+16,452.584,1.39059637102488e+17,1.21978437968481e+17,0.0453,139.332,1134558913.0,0
24.376,1426250945,15.374,342327071.0,1.061,11.647,1.1909999999999998,164903.0,57.367,-4.39,27.258000000000006,10.111,-2.48825641272914e+17,50.46,9.662,38333.0,1.328,49.106,4925387447,1.75,9.609,49.63,124.377,0.281,9705761626.0,-8.81478951723116e+16,451.025,1.05281747459187e+17,1.36649691628326e+17,0.0451,148.858,1033721638.0,1
57.31800000000001,1429151655,21.156,347566842.0,0.193,10.864,1.175,132151.0,54.797,-3.741,30.632,9.792,-1939660266240000.0,50.595,9.681,37897.0,1.237,49.214,4388983349,26.886,9.601,49.682,126.303,0.434,11885441025.0,1.446460903103e+16,454.247,1.03914282386502e+17,1.40555335696275e+17,0.0454,153.7,1169222037.0,1
63.14,1428976946,-3.774,259147579.0,-0.094,3.152,1.209,187631.0,60.69300000000001,9.456,31.795,9.896,-8299885839935488.0,49.533,9.811,38118.0,1.317,50.688,4951612260,17.302,9.626,50.362,125.763,0.5529999999999999,13356578789.0,3.70996618386007e+16,455.025,1.0258194264164e+17,4.23681328058627e+16,0.0455,116.051,867711904.0,1
