hashrate14std,fee_to_reward90trxUSD,hashrate30trx,difficulty14trx,top100cap,price90smaUSD,price90rocUSD,difficulty90var,mining_profitability,price30varUSD,difficulty14var,price30smaUSD,priceUSD,price3emaUSD,top100cap90rsi,price90momUSD,top100cap30rsi,difficulty7trx,price7rocUSD,price7rsiUSD,median_transaction_feeUSD,price14rocUSD,top100cap14mom,top100cap14rsi,top100cap30mom,top100cap30roc,category
9335855483737.0,0.616,1.494,1.496,20.427,52.395,518.736,2936841391024.0,4878.0,1181.0,157265062272.0,100.181,94.679,87.863,54.205,79.377,66.60600000000001,1.0659999999999998,-17.67,45.151,0.0473,-23.375,0.4370000000000001,70.319,1.085,5.6110000000000015,1
6867867583257.0,0.61,1.479,1.497,20.424,53.41,597.4540000000002,3107340479299.0,6198.0,1120.0,206500680326.0,101.813,106.7,97.281,54.173,91.401,66.502,1.285,15.419,52.351000000000006,0.0534,-17.070999999999998,0.591,70.119,1.012,5.214,1
6669387347744.0,0.604,1.462,1.505,20.546,54.512,646.552,3269747537528.0,6887.0,1075.0,279407205932.0,103.496,114.48,105.881,55.163,99.145,68.447,1.463,16.3,56.648,0.0572,-14.639,0.713,73.234,1.165,6.011,1
8795120977447.0,0.597,1.45,1.514,20.52,55.606,622.331,3424062565708.0,6616.0,1028.0,335034430251.0,105.114,114.295,110.088,54.90600000000001,98.471,67.578,1.565,24.437,56.506,0.0571,-19.556,0.754,71.515,1.16,5.989,1
9262090593183.0,0.59,1.439,1.517,20.518,56.683,582.217,3570285563842.0,6062.0,970.5,373382353283.0,106.778,113.535,111.811,54.886,96.892,67.509,1.592,30.338,55.839,0.0568,-30.586,0.8290000000000001,71.375,1.1740000000000002,6.068,1
9756455715691.0,0.584,1.4280000000000002,1.5119999999999998,20.52,57.83600000000001,609.5319999999998,3705865399816.0,7056.0,914.725,394450975028.0,108.645,120.78,116.296,54.901,103.757,67.54,1.556,60.949,60.969,0.0604,-38.187,0.8059999999999999,71.43,1.138,5.872000000000001,1
10312006913815.0,0.5770000000000001,1.418,1.497,20.311,59.145,695.867,3823245990120.0,7469.0,880.7289999999998,398240295486.0,110.834,134.8,125.548,52.874,117.862,60.742,1.473,73.41199999999998,69.079,0.0674,-24.482,0.5479999999999999,57.93600000000001,0.866,4.452,0
10452935405119.0,0.5710000000000001,1.406,1.473,20.382,60.511,730.5989999999998,3931721326432.0,8539.0,852.3989999999999,384750314657.0,113.102,139.74,132.644,53.468,122.916,62.091,1.36,47.593,71.513,0.0699,21.513,0.192,60.67,0.7909999999999999,4.035,0
11647852386545.0,0.565,1.398,1.44,20.42,61.797,674.4639999999998,4031291408750.0,7248.0,824.092,353981032540.0,114.892,132.945,132.79399999999998,53.777,115.778,62.787,1.23,24.597,63.494,0.0665,43.809,0.284,62.067,0.75,3.812,0
11293138719176.0,0.5579999999999999,1.388,1.399,20.167,63.00899999999999,630.826,4121956237076.0,6431.0,798.309,305932449136.0,116.244,126.316,129.555,51.448,109.032,55.678,1.095,10.339,56.308,0.0632,28.324,0.029,49.368,0.458,2.323,0
