priceUSD,price90emaUSD,mining_profitability90trx,sentinusd90stdUSD,price30wmaUSD,difficulty30trx,median_transaction_feeUSD,difficulty90var,mining_profitability,top100cap,difficulty30var,difficulty14wma,difficulty3ema,hashrate14trx,difficulty90mom,hashrate14var,price7rsiUSD,fee_to_rewardUSD,difficulty30roc,difficulty30mom,mediantransactionvalueUSD,category
88.095,95.055,0.03,132484216,84.458,1.38,0.044,24382207146891.0,1830.0,20.417,6264893622658.0,23122076.0,25552400.0,1.605,18489876.0,4.1772536189344e+26,65.75,0.852,67.65,10557243.0,89.85700000000001,1
88.156,94.903,0.018000000000000002,132778680,84.32600000000002,1.385,0.0441,25446970157561.0,1731.0,20.359,6469429982121.0,23628348.0,25857638.0,1.614,18489876.0,4.3216750286761996e+26,65.851,0.5329999999999999,67.65,10557243.0,59.152,1
89.295,94.78,0.006,132658264,84.29899999999998,1.391,0.0446,26427319463116.0,1698.0,20.322,6426287719833.0,24088642.0,26010257.0,1.612,18489876.0,3.7863537943472996e+26,67.903,0.544,67.65,10557243.0,79.516,1
89.925,94.673,-0.005,132369394,84.337,1.3969999999999998,0.045,27379933705045.0,1693.0,20.283,6265624129982.0,24502961.0,26086566.0,1.602,18124600.0,3.0586221087811998e+26,69.101,0.871,64.044,10214153.0,102.289,1
88.775,94.544,-0.017,89098717,84.322,1.403,0.0444,28387180321968.0,1902.0,20.35,6800305682603.0,24871302.0,26124721.0,1.578,17188580.0,2.6119170771386996e+26,64.012,0.73,35.284,6823617.0,89.723,1
86.48299999999998,94.366,-0.028,85801431,84.186,1.406,0.0432,29321476995436.0,1543.0,20.664,7231516669534.0,25193667.0,26143798.0,1.557,17188580.0,2.5181163728505002e+26,54.653,0.924,35.284,6823617.0,98.708,1
83.838,94.135,-0.039,85445163,83.916,1.408,0.0419,30182823725449.0,1643.0,20.55,7559257090775.0,25470055.0,26153337.0,1.523,17188580.0,2.1336154521657e+26,45.665,0.494,35.284,6823617.0,83.83,1
83.85799999999998,93.909,-0.051,85719486,83.69200000000002,1.408,0.0419,30971220512007.0,1644.0,20.518,7783526946326.0,25700467.0,26158106.0,1.505,17188580.0,2.0958989709485e+26,45.74100000000001,0.494,35.284,6823617.0,50.844,1
83.889,93.689,-0.062,83326291,83.51899999999998,1.405,0.0419,31686667355111.0,1731.0,20.528,7904326236187.0,25884902.0,26160491.0,1.4980000000000002,17188580.0,2.4678162867967002e+26,45.883,0.494,35.284,6823617.0,63.232,1
84.1,93.478,-0.073,80105003,83.406,1.401,0.0421,32571067958192.0,1337.0,20.539,8181698003524.0,26159203.0,26671092.0,1.518,18207397.0,3.3232647565725995e+26,46.986,0.7909999999999999,40.552,7842434.0,79.024,1
