size3mom,price3rsiUSD,mining_profitability3roc,activeaddresses30mom,size30rsi,hashrate14mom,mediantransactionvalue7rsiUSD,mining_profitability7std,median_transaction_fee3trxUSD,mediantransactionvalue14rocUSD,size30trx,price7varUSD,mediantransactionvalue14rsiUSD,size30std,sentinusdUSD,priceUSD,sentbyaddress30var,hashrate3std,hashrate90roc,hashrate7trx,price7momUSD,top100cap,confirmationtime3ema,mediantransactionvalue14smaUSD,confirmationtime30ema,mediantransactionvalueUSD,median_transaction_fee7rocUSD,difficulty14var,category
275.64,30.394,-3.773,-2998,46.542,34993614430697.0,49.246,569.64,-2.039,-9.367,-0.218,37.127,50.033,49782.0,63276333.0,106.555,30580395,4170617817123.0,288.627,1.993,-13.13,19.881,8.217,85.94200000000002,8.366,81.931,-10.97,2755467925227.0,1
-27777.0,45.026,17.423,-19033,44.902,49690229355181.0,53.56800000000001,487.401,-1.2819999999999998,-12.046,-0.245,25.868,51.923,52302.0,60179936.0,108.05,31025561,16197832307610.0,279.047,1.959,-12.045,19.976,7.655,85.083,8.283999999999999,87.854,-10.03,2770008311872.0,0
-10621.0,36.516,-3.5860000000000003,-17382,45.12,51577835149870.0,64.78,509.43,-0.826,16.695999999999998,-0.274,11.241,57.476000000000006,51175.0,64477884.0,106.945,29192158,20434519908539.0,264.999,2.045,-12.443,19.971,7.699,86.175,8.249,106.838,-10.422,2662938192027.0,0
7495.0,17.817999999999994,-7.814,-8997,47.739,26978709227090.0,56.364,483.565,-1.004,-7.802,-0.301,5.545,53.92100000000001,44612.0,73848367.0,102.855,29046400,15054872849644.0,234.845,1.901,-12.159,19.998,7.849,85.59,8.232999999999999,96.777,-10.572,2434257565690.0,0
-9649.0,11.965,-13.727,-30352,44.429,21547316017572.0,51.96,420.866,-1.359,25.604,-0.331,6.3439999999999985,51.985,43105.0,41208445.0,100.25,30821377,16524205045150.0,194.436,1.664,-10.335,20.004,8.087,86.917,8.238999999999999,91.151,-9.346,2083966432862.0,1
-1610.0,13.679,-1.775,-29668,45.562,19692185892188.0,33.341,405.807,-1.39,-27.535,-0.361,8.586,42.029,43317.0,51788945.0,100.355,36184010,8975046657779.0,207.598,1.514,-5.58,20.032,7.935,85.37899999999998,8.209,56.682,-5.267,1651532045962.0,1
12535.0,24.044,-31.511,-11469,49.51600000000001,34142021676263.0,39.886,847.6260000000002,-1.138,-24.841,-0.385,9.937,44.985,42129.0,58008345.0,100.846,37118728,17058530700116.0,248.689,1.537,-3.214,20.043,8.933,83.82799999999997,8.32,65.66,-3.089,2170462876786.0,1
52929.0,62.664,-19.813,-664,50.161,18832478195899.0,50.553,879.822,-0.493,-15.16,-0.403,8.596,50.139,42283.0,66315198.0,103.663,36376240,12465992068782.0,222.407,1.4269999999999998,-2.893,20.043,9.609,82.775,8.447000000000001,82.565,-2.715,2162491760453.0,1
53816.0,73.145,-6.6320000000000014,-2531,51.258,-17359755372852.0,46.437,730.578,0.121,-8.2,-0.414,5.645,48.063,40187.0,60876846.0,105.104,36474559,30323124116943.0,131.033,0.998,-2.946,20.077,10.099,82.294,8.585,75.327,-2.727,2315628086683.0,1
15186.0,77.82300000000002,24.349,-14929,51.053,812531322521.0,40.765,699.245,0.495,-17.834,-0.419,4.492,45.115,38734.0,76698237.0,105.826,34361979,20742244767628.0,161.754,0.743,-1.119,20.07,9.725,81.291,8.635,64.72399999999999,-1.046,2800412687586.0,1
