activeaddresses30trx,mining_profitability90trx,priceUSD,price30varUSD,price30stdUSD,mining_profitability90sma,sentinusd90varUSD,top100cap14trx,top100cap90wma,price90rocUSD,hashrate14std,price30momUSD,difficulty90std,price90momUSD,top100cap30roc,mining_profitability3wma,difficulty7trx,top100cap30rsi,top100cap,price7momUSD,price7rsiUSD,top100cap14roc,price3trxUSD,top100cap14mom,mediantransactionvalueUSD,category
-0.397,0.267,103.671,105.389,20.532,5749.0,8682229846182568.0,0.006999999999999999,20.039,60.06100000000001,23596991409930.0,-15.025,6939695.0,38.901,-0.32,2838.0,2.305,52.75,20.048,3.4210000000000003,38.687,0.989,0.28,0.196,73.044,0
-0.412,0.256,101.679,106.707,20.66,5723.0,8773381262579278.0,0.011,20.039,47.052,26103782478415.0,-22.925,7103954.0,32.534,-0.314,2661.0,2.167,54.038,20.08,1.324,32.285,0.8320000000000001,-0.218,0.166,65.53699999999999,0
-0.424,0.246,98.478,106.773,20.666,5690.0,8822162015524376.0,0.014,20.04,37.34,25430055200006.0,-29.247,7253625.0,26.774,0.907,2563.0,1.988,54.108,20.082,-2.3680000000000003,24.64,0.87,-0.846,0.173,80.036,0
-0.436,0.235,97.247,104.932,20.487,5655.0,8763180972157677.0,0.017,20.04,22.729,23842976783016.0,-31.503,7389595.0,18.01,0.613,2558.0,1.789,51.66,20.03,-6.415,22.274,0.748,-1.228,0.149,77.311,0
-0.444,0.224,98.0,100.711,20.071,5601.0,8794983623503582.0,0.019,20.039,14.283,25890450822529.0,-30.355,7512607.0,12.248,0.382,2565.0,1.584,52.618,20.052,-7.104,27.256,0.38,-1.152,0.076,83.884,0
-0.453,0.214,96.6,98.647,19.864,5558.0,8847118403310526.0,0.02,20.04,11.559,25819861259520.0,-29.125,7623289.0,10.009,0.532,2607.0,1.385,53.918,20.083,-9.226,23.927,0.561,-1.088,0.112,81.02600000000002,0
-0.457,0.203,92.242,97.984,19.797,5511.0,8873459012771366.0,0.022,20.041,5.474,26094594735264.0,-34.188,7722170.0,4.787,0.88,2496.0,1.197,54.727,20.103,-13.83,16.575,0.524,-1.472,0.105,79.156,0
-0.462,0.192,89.28299999999999,96.917,19.689,5459.0,8930740685911510.0,0.024,20.042,0.262,25742959825709.0,-37.962,7847196.0,0.233,0.995,2378.0,1.098,56.438,20.145,-14.388,13.331,0.705,-1.93,0.141,75.736,0
-0.469,0.181,89.829,93.193,19.307,5401.0,9003721323146194.0,0.026,20.044,-5.159,27709137498049.0,-36.595,8015110.0,-4.887,1.356,2146.0,1.13,56.539,20.147,-11.85,16.835,0.574,-1.88,0.115,64.357,0
-0.473,0.16899999999999998,85.60799999999998,90.558,19.032,5335.0,8739268242808850.0,0.028,20.047,-20.549,28212077388772.0,-41.301,8166628.0,-22.141,1.66,2056.0,1.19,59.033,20.211,-12.87,12.336,0.836,-2.123,0.16699999999999998,105.117,0
