mining_profitability90trx,price30varUSD,activeaddresses30trx,sentinusd90stdUSD,top100cap14trx,mining_profitability90ema,difficulty14wma,transactionfees7trxUSD,top100cap30mom,top100cap90mom,mining_profitability7std,price3rsiUSD,top100cap14roc,category
-0.599,28.716,0.066,64496124,-0.149,1517.0,107502913.0,3.382,-0.8590000000000001,-0.6970000000000001,83.921,35.902,-2.132,1
-0.605,22.486,0.061,65006703,-0.145,1495.0,108968984.0,0.917,-0.813,-0.608,68.415,30.818,-1.181,1
-0.612,17.41,0.059,65246588,-0.142,1475.0,110190336.0,-1.046,-0.872,-0.672,47.058,32.209,-1.45,1
-0.618,12.842,0.06,65106245,-0.14,1453.0,112923796.0,-2.419,-0.867,-0.7340000000000001,50.651,66.82300000000001,-1.364,0
-0.625,10.217,0.063,64971931,-0.13699999999999998,1429.0,118355641.0,-3.5,-0.782,-0.721,132.681,77.457,-1.022,0
-0.631,9.087,0.067,64543278,-0.133,1407.0,123198094.0,-2.211,-0.772,-0.728,133.32,61.433,-0.675,0
-0.637,8.116,0.068,63919043,-0.129,1386.0,127451155.0,-1.835,-0.62,-0.738,131.814,79.957,-0.6509999999999999,0
-0.643,7.841,0.069,63971469,-0.123,1364.0,131117069.0,-1.887,-0.5720000000000001,-0.757,126.096,81.91199999999998,-0.308,0
-0.65,7.893,0.07200000000000001,63911383,-0.117,1343.0,134438310.0,-2.246,-0.5479999999999999,-0.797,110.326,61.871,0.018000000000000002,0
-0.6559999999999999,7.701,0.081,64663054,-0.111,1323.0,137414878.0,-2.425,-0.452,-0.775,68.501,73.383,0.189,0
-0.662,9.701,0.1,65368070,-0.101,1303.0,140046773.0,-2.642,-0.229,-0.6729999999999999,48.503,4.634,1.3019999999999998,1
-0.6679999999999999,14.449000000000002,0.122,65428209,-0.087,1282.0,142333996.0,-2.909,-0.025,-0.56,46.267,2.958,1.61,1
-0.674,14.898,0.14,64917506,-0.07200000000000001,1263.0,144276545.0,-3.303,-0.106,-0.693,48.736,53.407,1.516,1
-0.68,14.591,0.151,64706873,-0.056,1245.0,145874422.0,-3.4730000000000003,0.03,-0.6709999999999999,52.617,61.44300000000001,1.62,1
-0.6859999999999999,13.563,0.155,64951464,-0.04,1224.0,149168954.0,-3.637,-0.003,-0.764,79.056,61.691,2.286,1
-0.6920000000000001,12.406,0.157,64953846,-0.026,1204.0,155326616.0,-3.235,0.014,-0.782,94.537,67.411,2.043,1
-0.698,11.739,0.159,64950165,-0.013,1185.0,160754252.0,-3.32,0.011,-0.7559999999999999,92.92,74.158,2.261,1
-0.7040000000000001,11.432,0.161,65160135,-0.002,1166.0,165451862.0,-3.082,0.117,-0.823,88.62299999999998,80.543,2.182,1
