difficulty14trx,fee_to_rewardUSD,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability14var,mining_profitability30trx,mining_profitability3wma,price30varUSD,price30wmaUSD,priceUSD,sentinusd90stdUSD,size90ema,top100cap90mom,transactionvalue90trxUSD,category
1.525,0.612,-34.103,0.0407,103299.0,-1.19,2035.0,95.736,96.93299999999999,81.42399999999999,180690882,142850.0,0.272,0.248,1
1.494,0.565,-39.019,0.0392,115999.0,-1.2209999999999999,1896.0,101.759,95.417,78.461,177994707,141847.0,0.514,0.23800000000000002,1
1.4580000000000002,0.6970000000000001,-45.556000000000004,0.0365,102755.0,-1.252,1848.0,111.917,93.639,73.017,177519919,140712.0,0.596,0.22899999999999998,1
1.416,0.637,-53.547,0.033,110441.0,-1.284,1722.0,131.22299999999998,91.51,66.0,177736497,139472.0,0.777,0.22,1
1.368,0.397,-57.355,0.0349,126822.0,-1.3159999999999998,1639.0,143.57,89.73700000000001,69.751,175641034,138078.0,0.846,0.21100000000000002,1
1.3159999999999998,0.682,-62.358999999999995,0.0368,120428.0,-1.347,1690.0,151.065,88.306,73.54899999999999,163919396,137120.0,0.877,0.20199999999999999,1
1.261,0.7490000000000001,-59.387,0.0362,110296.0,-1.3780000000000001,1684.0,161.57299999999998,86.88799999999999,72.494,138746603,136376.0,0.838,0.19399999999999998,1
1.203,0.541,-33.923,0.038,87437.0,-1.406,1795.0,166.96,85.766,75.98899999999999,133485457,135422.0,0.385,0.187,1
1.204,0.809,-11.84,0.0407,63395.0,-1.435,1649.0,163.602,85.061,81.5,132687751,134977.0,0.45799999999999996,0.18,1
1.24,0.7959999999999999,-13.65,0.0425,54779.0,-1.464,1535.0,155.444,84.635,84.999,132492390,135350.0,0.368,0.17300000000000001,1
1.291,0.852,-4.087,0.044000000000000004,37375.0,-1.49,1645.0,146.643,84.458,88.095,132484216,134913.0,0.268,0.16699999999999998,1
1.345,0.5329999999999999,1.204,0.0441,34610.0,-1.514,1717.0,141.207,84.32600000000001,88.156,132778680,134087.0,-0.026000000000000002,0.161,1
