difficulty90sma,fee_to_reward14stdUSD,mining_profitability90mom,mining_profitability90trx,price30varUSD,price90varUSD,priceUSD,top100cap90roc,category
1111159862.0,0.076,-66.09100000000001,-0.941,1198.0,41453.0,838.57,3.545,0
1131192297.0,0.084,-78.233,-0.941,1096.0,38571.0,835.689,1.3,0
1150987181.0,0.08800000000000001,-101.655,-0.941,1126.0,35763.0,816.934,0.937,0
1169686271.0,0.081,-61.551,-0.9420000000000001,1137.0,33063.0,817.692,1.6680000000000001,0
1191439337.0,0.08199999999999999,-88.389,-0.9420000000000001,707.502,30585.0,830.298,-1.054,0
1214889056.0,0.07400000000000001,-123.76299999999999,-0.943,595.846,28249.0,800.337,-1.102,0
1238338775.0,0.086,-232.988,-0.943,1005.0,26222.0,727.9010000000001,-1.172,0
1261788495.0,0.08800000000000001,-167.565,-0.9440000000000001,1630.0,23761.0,696.6610000000001,-1.238,0
1285238214.0,0.08800000000000001,-200.047,-0.945,2399.0,21531.0,676.2289999999999,-1.099,0
1308687933.0,0.08900000000000001,-207.908,-0.945,3081.0,19536.0,659.682,-1.3780000000000001,0
1332137652.0,0.084,-196.94099999999997,-0.946,3650.0,17819.0,661.433,-1.012,0
1355587371.0,0.086,-288.64,-0.9470000000000001,4617.0,16448.0,634.091,-0.9840000000000001,0
1379037090.0,0.086,-300.534,-0.948,6226.0,15392.0,574.95,-0.74,0
1402486809.0,0.08900000000000001,-306.45799999999997,-0.9490000000000001,8024.0,14521.0,547.519,-0.775,0
1425583292.0,0.084,-293.862,-0.95,9071.0,13722.0,587.908,-1.022,0
1447937978.0,0.084,-302.627,-0.951,9625.0,13357.0,633.999,-0.885,0
1475866128.0,0.168,-433.05300000000005,-0.9520000000000001,10068.0,13248.0,630.288,-0.9159999999999999,0
1503867133.0,0.168,-305.387,-0.953,10404.0,12569.0,628.232,-0.27899999999999997,0
1531868139.0,0.17,-376.25300000000004,-0.9540000000000001,10344.0,12477.0,622.409,-0.146,0
1559869144.0,0.17,-502.222,-0.955,10551.0,12743.0,597.613,-3.258,0
1587870150.0,0.16699999999999998,-525.715,-0.956,11011.0,13274.0,565.081,-1.829,0
1615871155.0,0.16699999999999998,-479.756,-0.958,11281.0,13681.0,578.305,-1.663,0
1643872161.0,0.168,-500.84,-0.9590000000000001,11317.0,13950.0,618.523,-1.403,0
1671873166.0,0.16899999999999998,-504.208,-0.96,11469.0,14460.0,570.345,-1.6780000000000002,0
1699874172.0,0.177,-729.296,-0.9620000000000001,11900.0,15206.0,499.8,-2.764,1
1727875177.0,0.177,-688.809,-0.963,11358.0,15394.0,572.999,-2.659,1
1755599450.0,0.177,-638.996,-0.965,11211.0,15322.0,580.375,-2.085,0
1785966313.0,0.177,-742.933,-0.9670000000000001,10775.0,14870.0,567.6569999999999,-1.8869999999999998,0
1820503152.0,0.17300000000000001,-584.268,-0.968,10378.0,15071.0,560.0830000000001,-2.019,1
1855039991.0,0.163,-518.0409999999999,-0.97,9698.0,15229.0,561.09,-1.791,1
1889576830.0,0.106,-703.203,-0.971,8517.0,14896.0,604.807,-2.083,1
1924113669.0,0.124,-590.2090000000001,-0.973,7280.0,14050.0,677.6060000000001,-1.546,0
1958650508.0,0.12,-619.887,-0.975,6192.0,13471.0,662.002,-1.018,1
1993187347.0,0.11900000000000001,-617.837,-0.977,5039.0,13217.0,661.3530000000001,-1.505,0
2027724186.0,0.12,-417.97900000000004,-0.978,3622.0,13324.0,642.185,-7.4239999999999995,1
2062261025.0,0.11900000000000001,-468.82800000000003,-0.98,2502.0,13487.0,619.677,-7.127999999999999,1
2096797865.0,0.121,-454.63800000000003,-0.982,2064.0,13474.0,627.479,-7.945,1
2130578843.0,0.127,-520.106,-0.9840000000000001,1826.0,13237.0,630.3009999999999,-11.898,1
2162882987.0,0.11900000000000001,-400.541,-0.986,1680.0,13101.0,625.927,-12.6,1
2195187131.0,0.11800000000000001,-370.594,-0.987,1617.0,13031.0,636.984,-12.63,1
2231961379.0,0.114,-426.509,-0.9890000000000001,1550.0,12896.0,638.79,-12.850999999999999,1
2269093235.0,0.11699999999999999,-447.583,-0.991,1548.0,12806.0,632.924,-12.504000000000001,0
2306225091.0,0.128,-347.796,-0.993,1536.0,12763.0,631.464,-12.493,0
2343356947.0,0.131,-385.95,-0.995,1430.0,12821.0,631.648,-12.447000000000001,0
2380488803.0,0.11699999999999999,-308.495,-0.997,1420.0,12897.0,625.026,-12.45,0
2417620660.0,0.10400000000000001,-229.662,-0.9990000000000001,1402.0,12718.0,613.511,-12.5,0
2454752516.0,0.102,-273.558,-1.001,1389.0,12723.0,613.783,-12.713,0
2491884372.0,0.10300000000000001,-241.565,-1.003,1383.0,12859.0,596.009,-12.562000000000001,1
2527247988.0,0.10300000000000001,-213.356,-1.004,1399.0,12946.0,582.231,-12.152999999999999,1
2561351263.0,0.107,-219.261,-1.006,1460.0,13137.0,563.3480000000001,-12.009,1
2595454537.0,0.12300000000000001,-207.88299999999998,-1.008,1462.0,13348.0,564.372,-11.879000000000001,1
2629781406.0,0.11199999999999999,-217.595,-1.01,1496.0,13587.0,563.641,-12.046,1
2672291822.0,0.11199999999999999,-223.625,-1.012,1515.0,13776.0,577.854,-10.838,1
2714802237.0,0.115,-270.513,-1.014,1497.0,13976.0,579.582,-10.74,1
2757312653.0,0.113,-268.10900000000004,-1.016,1253.0,14278.0,543.197,-10.427,1
2799823068.0,0.102,-233.581,-1.018,1569.0,14749.0,502.664,-9.721,1
2842333484.0,0.11,-281.41200000000003,-1.02,1908.0,15226.0,499.324,-9.613,1
2884843899.0,0.109,-275.526,-1.022,2438.0,15807.0,469.42800000000005,-9.896,1
2927354315.0,0.11,-278.612,-1.024,3041.0,16438.0,457.005,-9.467,1
2969864730.0,0.10800000000000001,-303.832,-1.0270000000000001,3462.0,16927.0,476.29699999999997,-8.335,1
3009873496.0,0.109,-170.482,-1.0290000000000001,3958.0,17427.0,466.32199999999995,-8.086,1
3049744376.0,0.11,-262.883,-1.031,4391.0,18040.0,434.95099999999996,-8.404,1
3089615256.0,0.111,-228.954,-1.033,4712.0,18451.0,444.394,-9.012,1
3135632567.0,0.091,-322.313,-1.035,4875.0,18619.0,451.81199999999995,-8.905,1
3187868619.0,0.081,-300.697,-1.037,5008.0,18248.0,459.325,-8.863,1
3240104671.0,0.091,-271.851,-1.0390000000000001,5218.0,18121.0,454.031,-8.857000000000001,1
3292340723.0,0.111,-274.802,-1.042,5345.0,18273.0,451.41,-8.787,1
3344576775.0,0.147,-292.251,-1.044,5412.0,18401.0,447.11,-8.863999999999999,1
3396812828.0,0.15,-244.75400000000002,-1.046,5713.0,18704.0,407.70300000000003,-9.059,1
