activeaddresses,activeaddresses7trx,confirmationtime,confirmationtime14wma,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,difficulty14var,fee_to_reward14emaUSD,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_rewardUSD,hashrate14trx,hashrate30mom,hashrate7std,median_transaction_feeUSD,mediantransactionvalue14momUSD,mediantransactionvalue14rocUSD,mediantransactionvalueUSD,price14rsiUSD,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap90rsi,transactions3var,transactions7var,transactionvalueUSD,category
149516,-0.122,8.889,8.939,8.85,8.867,8.95,8.792,5.36213825064796e+16,0.309,0.069,0.306,0.305,0.97,1.61317182877039e+16,6403550530999635.0,0.0437,-4.953,-6.1160000000000005,76.029,41.937,5.1610000000000005,41.934,-12.225,-2.719,33.411,-0.10400000000000001,10.0,2.34,41.411,437.341,235382.0,-19085.0,-7.609,225457.0,40.38,86925376.0,53524214.0,4227.0,1
160924,-0.081,9.6,9.003,8.921,9.232999999999999,9.226,9.001,9.12925308058747e+16,0.311,0.027999999999999997,0.31,0.322,0.9740000000000001,1.13558696143343e+16,5890169330579351.0,0.0442,-21.929000000000002,-22.829,74.131,44.288999999999994,-0.978,42.661,-1.0070000000000001,-0.228,57.016000000000005,-0.06,6.349,1.459,48.17100000000001,441.538,250492.0,45588.0,20.945999999999998,225963.0,40.473,5214563.0,53514106.0,4541.0,1
177032,0.156,8.421,8.92,8.937999999999999,8.827,8.892000000000001,8.896,1.21547030460482e+17,0.309,0.019,0.307,0.299,0.9890000000000001,1.52930238908713e+16,6037239520571315.0,0.0446,-18.354,-22.515,63.165,46.646,-8.588,43.403,7.6579999999999995,1.7480000000000002,72.059,0.121,5.038,1.143,54.388000000000005,445.787,247406.0,22590.0,10.055,226214.0,40.666,6267355.0,63856253.0,4846.0,0
155531,0.22,8.0,8.777999999999999,8.902999999999999,8.414,8.407,8.693,1.44384881470333e+17,0.302,0.054000000000000006,0.295,0.257,1.022,2.55711808656731e+16,7818661617256392.0,0.0445,7.08,9.845,79.002,46.141000000000005,-14.030999999999999,43.263999999999996,7.4239999999999995,1.6980000000000002,63.985,0.184,0.894,0.20199999999999999,52.618,444.76599999999996,240141.0,29888.0,16.599,226546.0,40.84,15190923.0,63955913.0,4357.0,1
148446,0.128,8.324,8.687999999999999,8.897,8.369,8.232000000000001,8.588,1.59806083835396e+17,0.29100000000000004,0.068,0.275,0.215,1.072,2.69105532874655e+16,9899202017966650.0,0.0446,10.061,17.014,69.196,47.056999999999995,-11.708,43.542,4.743,1.074,71.172,0.22,-3.285,-0.731,55.144,446.281,215376.0,43492.0,29.903000000000002,227030.0,40.806,76506976.0,73034279.0,3989.0,0
177716,0.27399999999999997,8.372,8.621,8.876,8.37,8.294,8.485,1.67810637555687e+17,0.27899999999999997,0.046,0.257,0.203,1.099,1.81183867671167e+16,9572829683012860.0,0.0445,6.825,11.18,67.876,46.504,-8.242,43.398999999999994,-0.489,-0.11,59.598,0.18,2.753,0.622,53.005,445.298,194753.0,-31287.0,-14.44,226682.0,40.871,43514082.0,84026041.0,2386.0,0
185595,0.57,8.571,8.593,8.859,8.471,8.464,8.472000000000001,1.68398542631174e+17,0.278,0.06,0.261,0.272,1.117,1.8109984064524e+16,6682538315410284.0,0.0445,19.769000000000002,27.208000000000002,92.427,46.34,-9.357000000000001,43.358000000000004,0.256,0.057999999999999996,55.773999999999994,0.11900000000000001,6.893,1.5730000000000002,52.339,445.022,204958.0,15053.0,6.675,226849.0,40.863,36254883.0,70238793.0,3620.0,1
191122,0.924,8.136000000000001,8.533999999999999,8.861,8.302999999999999,8.32,8.356,1.61569799061881e+17,0.281,0.083,0.271,0.302,1.1440000000000001,2.22001428282377e+16,7870947918512472.0,0.0465,35.078,47.133,109.50200000000001,58.068999999999996,-7.18,47.172,18.997,4.257,94.51,0.642,27.936,6.388,77.024,465.278,224934.0,43155.0,20.979,227329.0,40.797,80327122.0,74188396.0,9538.0,1
157967,0.903,8.229,8.481,8.855,8.266,8.255,8.291,1.47324406847799e+17,0.28300000000000003,0.026000000000000002,0.276,0.292,1.156,1.35199629577077e+16,5553856153116969.0,0.0492,31.434,38.297,113.51299999999999,68.093,-1.335,51.665,47.012,10.557,98.006,1.646,50.772,11.499,87.28,492.31,242045.0,10299.0,4.5489999999999995,227443.0,40.802,9435342.0,72790184.0,5053.0,1
163160,0.767,8.372,8.455,8.822000000000001,8.318999999999999,8.285,8.311,1.25662365988979e+17,0.285,0.008,0.281,0.297,1.159,2.0364189200563e+16,4897873439636698.0,0.0509,35.486,48.288999999999994,108.97200000000001,72.50399999999999,3.549,54.178000000000004,64.134,14.411,98.75,2.436,63.369,14.215,90.397,509.156,243424.0,-10739.0,-4.204,227324.0,40.897,3321315.0,68268797.0,5282.0,1
