difficulty14roc,difficulty14sma,difficulty14trx,difficulty14wma,difficulty3ema,difficulty7ema,difficulty7trx,hashrate30trx,hashrate30wma,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalue30smaUSD,mediantransactionvalueUSD,mining_profitability30ema,mining_profitability30std,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability90ema,mining_profitability90sma,mining_profitability90std,mining_profitability90var,mining_profitability90wma,price14rsiUSD,price30varUSD,price7rsiUSD,priceUSD,size90trx,top100cap,top100cap30roc,top100cap90roc,top100cap90rsi,category
11.026,10409771.0,1.023,10626737.0,11124838.0,10844391.0,1.0490000000000002,1.172,81362591173730.0,-4.166,0.0535,71.747,67.321,5891.0,1960.0,4747.0,4799.0,5188.0,5707.0,5897.0,3636.0,3305980.0,6300.0,46.486000000000004,158.959,40.648,107.0,0.262,20.142,-1.8330000000000002,3.915,51.141999999999996,1
11.026,10489126.0,1.025,10730402.0,11156048.0,10930108.0,1.069,1.161,81908548548893.0,-3.463,0.0552,71.67699999999999,68.267,5848.0,1946.0,4934.0,5041.0,5111.0,5697.0,5909.0,3621.0,3278548.0,6286.0,49.357,113.564,49.893,110.492,0.261,20.111,-1.364,3.7569999999999997,50.846000000000004,1
11.026,10568480.0,1.021,10823486.0,11171653.0,10994395.0,1.048,1.146,82117832509431.0,-2.227,0.0564,71.28,80.035,5807.0,1924.0,5140.0,5177.0,5008.0,5686.0,5922.0,3603.0,3245988.0,6270.0,51.231,99.055,55.299,112.815,0.26,20.113,-1.537,4.802,50.86600000000001,1
11.026,10647835.0,1.012,10905989.0,11179455.0,11042611.0,0.997,1.133,82870143650727.0,-1.23,0.0565,70.122,57.043,5751.0,1963.0,5124.0,5074.0,4970.0,5669.0,5939.0,3568.0,3182065.0,6248.0,51.306999999999995,96.427,55.516000000000005,112.905,0.259,20.098,-1.5959999999999999,4.743,50.72,1
11.026,10727190.0,0.997,10977912.0,11183356.0,11078773.0,0.924,1.114,82816270041219.0,-0.5710000000000001,0.0566,70.547,75.782,5682.0,1988.0,4945.0,4859.0,4901.0,5648.0,5949.0,3550.0,3151167.0,6221.0,51.57,96.632,56.324,113.2,0.258,20.11,-2.126,4.735,50.832,1
11.026,10806544.0,0.976,11039255.0,11185307.0,11105894.0,0.8390000000000001,1.092,82693634787032.0,0.018000000000000002,0.0576,71.054,88.835,5679.0,1974.0,5086.0,5202.0,5038.0,5647.0,5961.0,3538.0,3129653.0,6214.0,53.482,96.537,62.016999999999996,115.28,0.256,20.084,-2.125,3.807,50.582,1
11.026,10885899.0,0.95,11090017.0,11186282.0,11126235.0,0.75,1.071,83226057596253.0,0.456,0.0583,71.275,92.055,5649.0,1987.0,5179.0,5265.0,5127.0,5638.0,5977.0,3512.0,3082705.0,6198.0,54.781000000000006,96.287,65.556,116.686,0.255,20.132,-1.883,4.058,51.037,1
11.026,10965253.0,0.92,11130198.0,11186770.0,11141490.0,0.66,1.052,83852498268564.0,0.8170000000000001,0.0593,71.87,90.044,5658.0,1937.0,5542.0,5567.0,5242.0,5641.0,5995.0,3492.0,3047789.0,6193.0,56.646,95.81200000000001,70.191,118.696,0.253,20.112000000000002,-1.986,3.639,50.843999999999994,1
11.026,11044608.0,0.8859999999999999,11159798.0,11187014.0,11152932.0,0.575,1.036,84754351122658.0,1.5230000000000001,0.0623,72.602,99.751,5653.0,1839.0,5528.0,5591.0,5293.0,5640.0,6013.0,3465.0,3001186.0,6184.0,61.652,86.575,79.601,124.605,0.252,20.143,-0.8240000000000001,4.044,51.138999999999996,0
13.640999999999998,11142784.0,0.855,11213951.0,11318884.0,11227388.0,0.5329999999999999,1.023,85594380221212.0,2.043,0.0639,72.074,75.408,5650.0,1522.0,5660.0,5631.0,5350.0,5639.0,6033.0,3434.0,2948196.0,6176.0,64.015,72.165,82.92299999999999,127.725,0.25,19.901,-2.359,3.404,48.812,0
17.980999999999998,11275090.0,0.8420000000000001,11348701.0,11736148.0,11458894.0,0.608,1.013,86675954188367.0,2.105,0.0644,71.842,84.322,5628.0,1407.0,5502.0,5456.0,5404.0,5632.0,6042.0,3422.0,2927624.0,6160.0,64.783,67.865,83.926,128.75,0.248,19.908,-2.508,3.588,48.873999999999995,0
8.636000000000001,11344101.0,0.84,11465811.0,11944780.0,11632523.0,0.7090000000000001,1.008,88050220333035.0,1.7619999999999998,0.0642,71.42399999999999,73.29899999999999,5617.0,1373.0,5456.0,5430.0,5512.0,5628.0,6059.0,3395.0,2882157.0,6147.0,64.214,69.483,81.767,128.355,0.245,19.976,-0.946,3.783,49.534,0
8.636000000000001,11413112.0,0.841,11573719.0,12049096.0,11762745.0,0.792,1.003,88811710667001.0,1.052,0.0629,72.018,90.398,5592.0,1104.0,5329.0,5315.0,5454.0,5619.0,6070.0,3378.0,2853046.0,6128.0,60.413000000000004,70.53399999999999,68.14699999999999,125.725,0.243,19.977,-1.024,3.855,49.545,0
8.636000000000001,11482123.0,0.8420000000000001,11672426.0,12101254.0,11860412.0,0.841,1.0,89796099176543.0,0.598,0.0632,72.305,99.887,5575.0,883.0139999999999,5339.0,5322.0,5473.0,5613.0,6083.0,3357.0,2817033.0,6112.0,61.078,66.944,69.72399999999999,126.43,0.24100000000000002,19.927,-0.645,3.533,49.073,0
8.636000000000001,11551134.0,0.841,11761931.0,12127333.0,11933662.0,0.853,0.998,90910297008646.0,0.409,0.0636,72.835,91.552,5575.0,807.34,5379.0,5435.0,5442.0,5612.0,6100.0,3333.0,2776751.0,6101.0,61.875,59.442,71.618,127.245,0.23800000000000002,19.945999999999998,-0.705,3.7089999999999996,49.26,0
8.636000000000001,11620145.0,0.836,11842235.0,12140372.0,11988599.0,0.8340000000000001,1.0,92413418700516.0,0.215,0.0632,73.39699999999999,104.96600000000001,5542.0,732.462,5327.0,5282.0,5368.0,5600.0,6114.0,3304.0,2728493.0,6078.0,60.528999999999996,60.659,66.71,126.42399999999999,0.235,19.878,-1.381,3.161,48.607,0
8.636000000000001,11689156.0,0.8270000000000001,11913337.0,12146892.0,12029802.0,0.7909999999999999,1.0070000000000001,94223258334188.0,0.39,0.0647,73.444,72.57,5563.0,755.993,5501.0,5550.0,5405.0,5606.0,6135.0,3274.0,2679556.0,6073.0,61.068000000000005,64.368,68.212,126.90899999999999,0.233,19.881,-1.655,2.758,48.638000000000005,0
8.636000000000001,11758167.0,0.813,11975238.0,12150152.0,12060705.0,0.733,1.022,96652458738952.0,-0.051,0.0621,73.679,78.22,5520.0,765.7360000000001,5279.0,5251.0,5346.0,5590.0,6144.0,3254.0,2646484.0,6046.0,56.333999999999996,60.54,52.434,124.135,0.22899999999999998,19.884,-1.7080000000000002,2.5180000000000002,48.668,0
8.636000000000001,11827178.0,0.795,12027937.0,12151782.0,12083881.0,0.665,1.04,98775213904578.0,-0.716,0.0602,75.042,87.36200000000001,5500.0,759.081,5325.0,5216.0,5312.0,5582.0,6160.0,3221.0,2592966.0,6025.0,50.549,56.443000000000005,38.275,120.333,0.226,19.797,-2.008,2.411,47.845,0
8.636000000000001,11896189.0,0.773,12071435.0,12152597.0,12101264.0,0.594,1.062,100849474263000.0,-1.058,0.0598,76.307,97.318,5477.0,680.429,5083.0,5123.0,5299.0,5572.0,6166.0,3212.0,2579406.0,6003.0,49.614,56.24,36.325,119.685,0.222,19.784000000000002,-1.9380000000000002,2.033,47.718999999999994,0
20.375999999999998,12059010.0,0.7759999999999999,12280844.0,12809677.0,12442637.0,0.698,1.091,103703503500420.0,-1.023,0.06,76.898,82.056,5383.0,817.6410000000001,4791.0,4594.0,5111.0,5538.0,6155.0,3235.0,2615635.0,5956.0,50.242,55.893,38.635999999999996,120.096,0.218,19.869,-1.128,2.479,48.597,0
39.495,12374608.0,0.8390000000000001,12753727.0,14207655.0,13233386.0,1.127,1.125,106662287780360.0,-0.904,0.0597,77.19,78.77199999999999,5283.0,955.8480000000001,4331.0,4113.0,4863.0,5501.0,6144.0,3259.0,2655368.0,5905.0,49.106,54.287,36.008,119.38799999999999,0.215,19.817,-1.3940000000000001,1.599,48.098,0
39.495,12690207.0,0.934,13184530.0,14906644.0,13826448.0,1.5959999999999999,1.156,108386939319560.0,-1.17,0.0575,77.946,98.73299999999999,5183.0,1088.0,3862.0,3814.0,4672.0,5462.0,6128.0,3292.0,2709208.0,5852.0,42.68,52.303000000000004,24.156999999999996,115.014,0.21100000000000002,19.816,-1.541,1.5419999999999998,48.088,0
36.285,12986984.0,1.041,13573254.0,15256138.0,14271244.0,1.9680000000000002,1.185,110454016139120.0,-1.6740000000000002,0.0553,78.547,77.985,5096.0,1179.0,3799.0,3800.0,4382.0,5426.0,6112.0,3322.0,2759202.0,5801.0,37.351,51.088,17.394000000000002,110.585,0.207,19.852,-1.4169999999999998,2.2569999999999997,48.455,0
28.405,13233571.0,1.146,13922407.0,15430885.0,14604841.0,2.1959999999999997,1.215,112661850859200.0,-2.258,0.053,78.937,71.689,4969.0,1345.0,3567.0,3467.0,4129.0,5376.0,6093.0,3370.0,2839202.0,5736.0,32.73,54.048,12.953,105.935,0.203,19.914,-0.742,2.427,49.1,0
28.405,13480158.0,1.24,14238682.0,15518259.0,14855039.0,2.285,1.242,114772031756610.0,-2.5140000000000002,0.052000000000000005,80.067,80.152,4865.0,1423.0,3442.0,3362.0,3864.0,5331.0,6072.0,3414.0,2913581.0,5676.0,31.061,59.32899999999999,11.562999999999999,104.06,0.19899999999999998,19.909000000000002,-0.598,2.3080000000000003,49.043,0
28.405,13726745.0,1.318,14522078.0,15561946.0,15042687.0,2.259,1.266,116486065382726.0,-2.039,0.0533,81.03399999999999,81.931,4790.0,1485.0,3393.0,3486.0,3657.0,5295.0,6057.0,3444.0,2964502.0,5623.0,35.756,62.193000000000005,24.186999999999998,106.555,0.19399999999999998,19.881,-0.64,2.055,48.769,0
