activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime90ema,difficulty14var,hashrate14mom,hashrate14trx,hashrate30roc,hashrate3std,hashrate7trx,hashrate90roc,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,mediantransactionvalue14rocUSD,mediantransactionvalue14rsiUSD,mediantransactionvalue14smaUSD,mediantransactionvalue7rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,priceUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
-4630,10.163,10.58,10.001,6.02608692806025e+17,2856649228576192.0,-0.053,-2.266,2.64996554746467e+16,-0.12,-4.422,-0.252,-4.331,36.758,50.3,72.545,45.293,66.086,1.511,0.34,51.278,-10.191,26.217,225.106,124130594,290982716.0,53.266999999999996,86005.0,0.086,116336.0,20.387,1
-11840,10.2,10.663,10.017000000000001,4.71569466659963e+17,-2.41442332656175e+16,-0.081,-10.378,3.52767647006063e+16,-0.272,-1.942,0.258,-1.192,19.054000000000002,53.21,73.382,52.345,73.192,7.655,0.34,76.271,-2.7939999999999996,20.831,231.562,116576796,281528593.0,51.325,86731.0,0.094,2012.0,20.398,1
-37670,10.17,10.196,10.011000000000001,3.06139855370846e+17,1.99153066188057e+16,-0.099,4.1610000000000005,2.26040437347658e+16,-0.309,12.020999999999999,0.706,1.5,-1.6869999999999998,49.238,73.303,43.9,64.102,5.044,0.361,83.274,3.4730000000000003,27.855,235.075,107399701,288092865.0,48.122,87041.0,0.096,-47462.0,20.409000000000002,0
22062,10.146,9.996,10.006,1.06319858939462e+17,1.57878994538852e+16,-0.102,1.472,3.21155583475674e+16,-0.239,-0.568,0.7909999999999999,2.611,-3.094,41.428000000000004,73.206,30.455,42.784,11.575,0.27699999999999997,76.61,5.965,35.469,234.385,106891911,196550631.0,49.199,86821.0,0.094,-123654.0,20.405,1
14368,10.15,10.104,10.01,4661098577920.0,-1.28839262660072e+16,-0.10300000000000001,-6.824,9416094290229740.0,-0.174,11.083,0.9670000000000001,9.462,17.590999999999998,50.332,73.902,49.42100000000001,65.156,-0.451,0.225,87.62200000000001,20.701999999999998,37.309,239.50099999999998,124189746,195182349.0,48.388000000000005,89207.0,0.08900000000000001,-92646.0,20.436,1
-2766,10.221,10.677,10.038,73355073159168.0,-2.49075320374493e+16,-0.111,-7.687,2.00391405465826e+16,-0.187,9.177,0.971,8.635,0.703,50.111999999999995,73.934,49.001999999999995,64.556,-7.7829999999999995,0.214,88.574,19.085,31.206999999999997,240.104,122469980,298922350.0,51.369,87123.0,0.087,99169.0,20.449,0
-16296,10.165,10.014,10.023,131048650571776.0,-4.77660840883891e+16,-0.114,-6.617000000000001,1.32718643754909e+16,-0.168,9.977,0.585,4.428,-30.622,50.693000000000005,71.851,50.232,66.058,8.816,0.27699999999999997,47.42,9.988,22.111,235.56400000000002,118950724,284652208.0,49.68899999999999,86850.0,0.084,14359.0,20.432000000000002,0
24470,10.086,9.479,9.999,177741830029312.0,1.01338543373026e+16,-0.1,3.798,2.73066245039652e+16,-0.042,16.349,0.223,4.226,-21.419,53.567,70.421,56.3,73.471,6.17,0.201,41.416000000000004,9.514,7.737,234.61900000000003,126927505,277030307.0,48.974,84720.0,0.078,17475.0,20.425,0
2564,10.094,9.846,10.004,213434610221056.0,3.12418424118818e+16,-0.068,5.103,2.51529938064943e+16,0.156,5.556,-0.111,0.275,-26.655,53.718,68.50399999999999,56.619,73.854,-6.041,0.295,27.855999999999998,0.636,7.01,232.19799999999998,128854722,304895313.0,50.85,84958.0,0.07400000000000001,-16905.0,20.404,1
33050,10.062000000000001,9.722999999999999,9.995,238126992457728.0,5.09810606530938e+16,-0.04,8.123,1.65631801264959e+16,0.258,0.20600000000000002,0.156,2.112,-29.438000000000002,49.543,66.579,46.949,64.586,-3.5780000000000003,0.299,72.152,4.9639999999999995,8.828,240.03900000000002,162814956,262775274.0,50.15,81972.0,0.071,13981.0,20.444000000000003,1
-4159,10.133,10.443,10.02,251818976739328.0,-3.25340986617667e+16,-0.037000000000000005,-6.807,4.16418585192302e+16,0.159,9.136000000000001,0.48200000000000004,3.522,-27.955,44.056000000000004,65.171,36.21,50.791000000000004,-6.582000000000001,0.299,78.671,8.256,11.878,242.641,181034879,214756366.0,49.535,80925.0,0.067,18034.0,20.491999999999997,0
16200,10.2,10.802999999999999,10.046,254510564114432.0,-5.30782126158392e+16,-0.055999999999999994,-8.164,3.37289120033502e+16,-0.052000000000000005,-2.438,0.523,0.78,12.783,53.766999999999996,65.779,56.603,75.084,13.517000000000001,0.3,67.152,1.869,13.208,241.37,188484039,232110316.0,50.92,80909.0,0.064,1425.0,20.494,1
-12499,10.13,9.958,10.025,246201752485888.0,1.61230105026856e+16,-0.065,-5.127999999999999,2.9031283281672e+16,-0.11900000000000001,0.485,0.447,0.568,45.938,62.343999999999994,68.133,70.163,104.68299999999999,7.54,0.335,67.69800000000001,1.3630000000000002,14.225,241.467,193408805,285339313.0,49.922,80895.0,0.062,-6281.0,20.53,1
