activeaddresses90var,difficulty14ema,difficulty14wma,difficulty30ema,difficulty30sma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90rsi,fee_to_reward30wmaUSD,fee_to_reward90smaUSD,fee_to_reward90wmaUSD,median_transaction_feeUSD,mining_profitability,mining_profitability14std,mining_profitability14var,mining_profitability30std,mining_profitability90mom,mining_profitability90trx,priceUSD,sentbyaddress90std,top100cap30rsi,top100cap30trx,top100cap90roc,category
121436547,48467164.0,50820279.0,42417560.0,40825583.0,53457605.0,51582555.0,29958009.0,99.833,0.789,0.83,0.775,0.0529,918.683,214.218,11472.0,441.772,-4392.0,-0.389,105.79899999999999,16423.0,43.45,0.039,1.643,1
120944129,50771550.0,53122020.0,43922882.0,41975353.0,59603833.0,55124432.0,30744648.0,99.869,0.7909999999999999,0.826,0.774,0.0538,791.645,209.042,10925.0,462.195,-4658.0,-0.397,107.66,16491.0,43.998000000000005,0.036000000000000004,1.381,1
120854675,52768685.0,55153691.0,45331087.0,43125123.0,62676946.0,57780839.0,31513997.0,99.869,0.804,0.8220000000000001,0.778,0.0543,863.041,177.57,7883.0,461.788,-4363.0,-0.405,108.695,16514.0,43.091,0.034,1.197,1
127456908,54499535.0,56915293.0,46648441.0,44274893.0,64213503.0,59773144.0,32266438.0,99.869,0.8140000000000001,0.8190000000000001,0.78,0.0559,870.538,163.48,6681.0,473.05800000000005,-4472.0,-0.413,111.875,16670.0,41.776,0.031,1.1840000000000002,1
129177327,55999605.0,58429869.0,47880803.0,45424663.0,64981782.0,61267373.0,33002342.0,99.869,1.121,0.8690000000000001,0.884,0.0576,975.1110000000001,163.485,6682.0,451.046,-4592.0,-0.42100000000000004,115.28,16876.0,42.651,0.027999999999999997,1.216,1
129074039,57299666.0,59802162.0,49033658.0,46574433.0,65365921.0,62388045.0,33722072.0,99.869,1.0959999999999999,0.8640000000000001,0.878,0.0579,882.6110000000001,167.482,7013.0,430.776,-4188.0,-0.429,115.785,16909.0,38.868,0.024,0.762,1
134511154,58426385.0,61032172.0,50112136.0,47724203.0,65557991.0,63228549.0,34425984.0,99.869,1.089,0.8640000000000001,0.877,0.0592,945.862,167.533,7017.0,409.585,-4919.0,-0.43700000000000006,118.34700000000001,17242.0,38.784,0.021,0.727,1
139108494,59402875.0,62119898.0,51121034.0,48873973.0,65654025.0,63858927.0,35114425.0,99.869,1.064,0.86,0.871,0.061,1007.0,168.524,7100.0,392.725,-3894.0,-0.444,122.066,17347.0,38.259,0.017,0.596,1
138754752,60249166.0,63065342.0,52064842.0,50023743.0,65702043.0,64331710.0,35787736.0,99.869,1.033,0.853,0.862,0.0623,919.0160000000001,168.435,7093.0,348.416,-4290.0,-0.452,124.65100000000001,17534.0,36.853,0.013000000000000001,0.716,1
137629875,60982619.0,63868503.0,52947760.0,51077265.0,65726051.0,64686297.0,36446248.0,99.869,1.03,0.851,0.862,0.0628,938.4060000000001,168.525,7100.0,343.93300000000005,-4200.0,-0.46,125.588,17580.0,36.068000000000005,0.009000000000000001,0.601,1
136463435,61618278.0,64529380.0,53773715.0,52022508.0,65738056.0,64952238.0,37090288.0,99.869,1.01,0.8440000000000001,0.858,0.0624,961.409,161.125,6490.0,328.835,-3064.0,-0.467,124.863,17585.0,35.87,0.005,0.12300000000000001,1
137081188,64300473.0,67179266.0,55577652.0,53500574.0,73736401.0,69147865.0,38071485.0,99.90700000000001,0.993,0.841,0.8540000000000001,0.0604,658.4939999999999,210.831,11112.0,346.27,-3170.0,-0.474,120.74700000000001,17574.0,38.255,0.001,0.6970000000000001,1
136730478,67318146.0,70227737.0,57600579.0,55151916.0,80334709.0,73594153.0,39145365.0,99.915,0.9790000000000001,0.8390000000000001,0.851,0.0587,723.439,193.65599999999998,9376.0,340.298,-3010.0,-0.48200000000000004,117.345,17552.0,35.561,-0.003,0.091,1
136170886,69933462.0,72932182.0,59492994.0,56803258.0,83633864.0,76928869.0,40195643.0,99.915,0.965,0.835,0.8490000000000001,0.0575,677.4060000000001,215.764,11639.0,342.954,-3157.0,-0.489,115.05,17466.0,35.481,-0.008,-0.106,1
135110707,72200070.0,75292602.0,61263318.0,58454599.0,85283441.0,79429906.0,41222838.0,99.915,0.948,0.833,0.845,0.0575,593.3380000000001,254.873,16240.0,338.165,-2539.0,-0.496,115.023,17400.0,34.916,-0.012,-0.552,1
135990539,74164463.0,77359534.0,62919428.0,60105941.0,86108229.0,81305684.0,42227457.0,99.915,0.9309999999999999,0.831,0.841,0.0583,691.0980000000001,265.736,17654.0,341.93,-2667.0,-0.504,116.613,17581.0,35.024,-0.016,-0.509,1
136437031,75866937.0,79224723.0,64468692.0,61757283.0,86520623.0,82712518.0,43209997.0,99.915,0.91,0.826,0.836,0.0589,758.6460000000001,268.155,17977.0,315.043,-2931.0,-0.511,117.844,17586.0,31.838,-0.02,-1.1420000000000001,1
136368789,77342414.0,80888170.0,65918003.0,63408625.0,86726821.0,83767643.0,44170943.0,99.915,0.885,0.823,0.83,0.06,685.7280000000001,276.688,19139.0,299.941,-2993.0,-0.518,119.961,17588.0,32.31,-0.024,-1.557,1
